team,power
Virginia,85
Gonzaga,80
Duke,95
North Carolina,90
Michigan State,85
Michigan,80
Tennessee,75
Kentucky,75
Houston,40
Florida State,60
Kansas,60
LSU,60
Texas Tech,60
Purdue,40
Wisconsin,35
Buffalo,15
Kansas State,60
Auburn,50
Virginia Tech,50
Villanova,50
Maryland,15
Wofford,20
Mississippi State,25
Iowa State,45
Cincinnati,35
Nevada,25
Marquette,25
Louisville,15
Washington,15
Iowa,15
Oklahoma,15
UCF,25
Utah State,13
Minnesota,13
Seton Hall,10
Syracuse,10
Temple,15
Ole Miss,20
VCU,20
New Mexico State,5
Baylor,12
Arizona State,10
St. John's,10
Ohio State,15
St. Mary's,5
Murray State,10
Oregon,30
Belmont,5
Florida,10
UC Irvine,1
Liberty,1
Vermont,1
Yale,1
Northeastern,1
Georgia State,1
Old Dominion,1
Northern Kentucky,1
St. Louis,1
Montana,1
Abilene Christian,1
Colgate,1
Gardner-Webb,1
Prairie View,1
Bradley,1
North Dakota State,1
Fairleigh Dickinson,1
Iona,1
NC Central,1
