Rd1,Rd2,S16,E8,FF,C,W
Villanova,Villanova,Wisconsin,Virginia,Virginia,Notre Dame,Purdue
Mount St. Mary's,,,,,,
Wisconsin,Wisconsin,,,,,
Virgina Tech,,,,,,
Virginia,Virginia,Virginia,,,,
UNC Wilmington,,,,,,
Florida,Florida,,,,,
East Tennessee State,,,,,,
SMU,SMU,SMU,SMU,,,
USC,,,,,,
Baylor,Baylor,,,,,
New Mexico State,,,,,,
South Carolina,South Carolina,Duke,,,,
Marquette,,,,,,
Duke,Duke,,,,,
Troy,,,,,,
Gonzaga,Gonzaga,Gonzaga,Notre Dame,Notre Dame,,
South Dakota State,,,,,,
Northwestern,Vanderbilt,,,,,
Vanderbilt,,,,,,
Notre Dame,Notre Dame,Notre Dame,,,,
Princeton,,,,,,
West Virginia,Bucknell,,,,,
Bucknell,,,,,,
Maryland,Maryland,Florida State,Arizona,,,
Xavier,,,,,,
Florida State,Florida State,,,,,
Florida Gulf Coast,,,,,,
St. Mary's,St. Mary's,Arizona,,,,
VCU,,,,,,
Arizona,Arizona,,,,,
North Dakota,,,,,,
Kansas,Kansas,Miami,Purdue,Purdue,Purdue,
UC Davis,,,,,,
Miami,Miami,,,,,
Michigan State,,,,,,
Iowa State,Iowa State,Purdue,,,,
Nevada,,,,,,
Purdue,Purdue,,,,,
Vermont,,,,,,
Creighton,Rhode Island,Oregon,Louisville,,,
Rhode Island,,,,,,
Oregon,Oregon,,,,,
Iona,,,,,,
Michigan,Michigan,Louisville,,,,
Oklahoma State,,,,,,
Louisville,Louisville,,,,,
Jacksonville State,,,,,,
North Carolina,North Carolina,North Carolina,North Carolina,Cincinnati,,
Texas Southern,,,,,,
Arkansas,Arkansas,,,,,
Seton Hall,,,,,,
Minnesota,Minnesota,Butler,,,,
Middle Tennessee,,,,,,
Butler,Butler,,,,,
Winthrop,,,,,,
Cincinnati,Cincinnati,Cincinnati,Cincinnati,,,
Kansas State,,,,,,
UCLA,UCLA,,,,,
Kent State,,,,,,
Dayton,Wichita State,Wichita State,,,,
Wichita State,,,,,,
Kentucky,Kentucky,,,,,
Northern Kentucky,,,,,,
