team,power
Virginia,180
Gonzaga,140
Duke,200
North Carolina,170
Michigan State,165
Michigan,75
Tennessee,125
Kentucky,175
Houston,45
Florida State,50
Kansas,40
LSU,60
Texas Tech,55
Purdue,30
Wisconsin,15
Buffalo,30
Kansas State,30
Auburn,70
Virginia Tech,25
Villanova,25
Maryland,20
Wofford,28
Mississippi State,25
Iowa State,25
Cincinnati,18
Nevada,35
Marquette,40
Louisville,20
Washington,8
Iowa,16
Oklahoma,10
UCF,10
Utah State,10
Minnesota,12
Seton Hall,12
Syracuse,40
Temple,8
Ole Miss,10
VCU,8
New Mexico State,15
Baylor,10
Arizona State,25
St. John's,15
Ohio State,15
St. Mary's,20
Murray State,40
Oregon,15
Belmont,8
Florida,35
UC Irvine,4
Liberty,7
Vermont,5
Yale,1
Northeastern,20
Georgia State,6
Old Dominion,3
Northern Kentucky,0
St. Louis,2
Montana,10
Abilene Christian,0
Colgate,0
Gardner-Webb,0
Prairie View,0
Bradley,2
North Dakota State,0
Fairleigh Dickinson,0
Iona,0
NC Central,0
