Team,Win,Loss,Pct,RPI,Kenpom,BPI
Villanova,31,3,0.911764706,1,30.78,20.7
North Carolina,27,7,0.794117647,5,28.01,19.5
Kansas,28,4,0.875,3,25.98,16.8
Gonzaga,32,1,0.96969697,8,33.05,19.6
Duke,27,8,0.771428571,6,25.09,18
Kentucky,29,5,0.852941176,4,27.27,17.1
Oregon,29,5,0.852941176,9,23.83,16.3
Arizona,30,4,0.882352941,2,22.74,14
UCLA,29,4,0.878787879,16,22.95,16
Baylor,25,7,0.78125,11,25.01,15.3
Florida State,25,8,0.757575758,14,22.74,14.7
Louisville,24,8,0.75,7,26.72,18.2
Notre Dame,25,9,0.735294118,23,21.09,14.4
Purdue,25,7,0.78125,19,24.22,16.8
Butler,23,8,0.741935484,15,20.91,13.3
West Virginia,26,8,0.764705882,24,26.8,17.8
Virginia,22,10,0.6875,18,26.67,18.3
Cincinnati,29,5,0.852941176,12,22.32,15.2
SMU,30,4,0.882352941,15,25.27,15.5
Florida,24,8,0.75,10,26.39,17.6
Iowa State,23,10,0.696969697,21,23.11,14.1
Wisconsin,25,9,0.735294118,36,22.29,14.7
Michigan,24,11,0.685714286,25,22.62,15.3
St. Mary's,28,4,0.875,17,24.64,16.4
Maryland,24,8,0.75,34,14.83,9.1
Minnesota,24,9,0.727272727,20,16.59,10
Creighton,25,9,0.735294118,26,19.59,11.9
Miami,21,11,0.65625,42,16.96,11.3
Virgina Tech,22,10,0.6875,48,14.94,9
Wichita State,30,4,0.882352941,32,26.41,15.6
South Carolina,22,10,0.6875,43,17.03,9.5
Northwestern,23,11,0.676470588,51,15.51,9.2
Dayton,24,7,0.774193548,30,15.67,10.2
Oklahoma State,20,12,0.625,40,22.1,12.1
VCU,26,8,0.764705882,22,14.31,10
Arkansas,25,9,0.735294118,28,15.6,9.2
Providence,20,12,0.625,56,12.9,8.2
Michigan State,19,14,0.575757576,50,14.98,9.4
Seton Hall,21,11,0.65625,44,13.95,8.5
Vanderbilt,19,15,0.558823529,38,16.24,10
Middle Tennessee,30,4,0.882352941,35,14.65,9.3
Wake Forest,19,13,0.59375,39,17.28,11
Kansas State,20,13,0.606060606,57,17.55,10.1
Xavier,21,13,0.617647059,37,15.32,10.4
Marquette,19,12,0.612903226,61,17.57,11.2
UNC Wilmington,29,5,0.852941176,27,12.39,7.4
Nevada,28,6,0.823529412,29,13.34,9.1
Vermont,29,5,0.852941176,46,11.88,8.9
USC,24,9,0.727272727,41,12.34,11
Rhode Island,24,9,0.727272727,31,15.62,10.8
Bucknell,26,8,0.764705882,63,8.72,4.9
Princeton,23,6,0.793103448,47,12.5,8.4
East Tennessee State,27,7,0.794117647,55,11.49,6.1
Kent State,22,13,0.628571429,142,1.73,4.9
Winthrop,26,6,0.8125,70,4.63,3.6
Florida Gulf Coast,26,7,0.787878788,85,5.01,5.3
Iona,22,12,0.647058824,88,4,1.8
New Mexico State,28,5,0.848484848,59,7.32,2.5
Northern Kentucky,24,10,0.705882353,87,1.34,0.1
Jacksonville State,20,14,0.588235294,151,0.5,0.1
North Dakota,22,9,0.709677419,144,0.5,1.2
UC Davis,22,12,0.647058824,166,0.5,2.2
South Dakota State,18,16,0.529411765,154,0.5,0.1
Texas Southern,23,11,0.676470588,105,0.5,0.1
Mount St. Mary's,19,15,0.558823529,150,0.5,0.1
North Carolina Central,25,8,0.757575758,202,1.03,1
Troy,22,14,0.611111111,147,2.67,0.1
New Orleans,20,11,0.64516129,154,0.5,0.1
