team,conf,yusag_coeff,rpi,sor,wab,qual_bonus,yusag_rank,rpi_rank,sor_rank,resume_rank,wab_rank,blend,avg,odds,blended,rpiavg,rpisor
Virginia,ACC,25.54130494,0.6441,5.68652,11.85266667,251,3,4,1,3,2,2.625,2.6,100,0.380952381,0.247730769,0.32205
Gonzaga,WCC,27.45059231,0.6409,1.98992,6.635888889,137,1,6,9,17,15,10.3,9.6,100,0.097087379,0.066760417,0.06409
Duke,ACC,26.07150501,0.6593,5.5326,12.13566667,236,2,1,2,4,1,2.375,2,99.91,0.421052632,0.32965,0.219766667
North Carolina,ACC,24.05760791,0.6438,4.1814,10.94733333,224,4,5,3,6,3,4.475,4.2,99.88,0.223463687,0.153285714,0.16095
Michigan State,Big 10,23.8312424,0.6348,3.21116,10.92666667,262.16,5,10,6,2,4,4.85,5.4,99.88,0.206185567,0.117555556,0.090685714
Michigan,Big 10,21.11097752,0.6307,3.38956,10.60866667,262.84,8,11,5,1,5,5.2,6,99.87,0.192307692,0.105116667,0.105116667
Tennessee,SEC,21.78672281,0.6358,3.81512,10.274,225.356,6,8,4,5,6,5.575,5.8,99.86,0.179372197,0.10962069,0.12716
Kentucky,SEC,21.1439188,0.6357,2.75164,9.291777778,205,7,9,7,7,7,7.3,7.4,99.82,0.136986301,0.085905405,0.0794625
Houston,AAC,17.68071855,0.6445,1.70668,7.090666667,163.8,13,2,10,13,12,10.625,10,99.72,0.094117647,0.06445,0.058590909
Florida State,ACC,17.05785452,0.6214,2.00108,8.470666667,184,16,12,8,10,9,10.975,11,99.71,0.091116173,0.056490909,0.069044444
Kansas,Big 12,16.28521421,0.6443,0.65132,8.560777778,187,20,3,13,9,8,10.975,10.6,99.71,0.091116173,0.060783019,0.046021429
LSU,SEC,16.49118575,0.6194,0.8626,7.307222222,188.307,19,13,11,8,10,11.8,12.2,99.67,0.084745763,0.050770492,0.051616667
Texas Tech,Big 12,20.05355949,0.6118,0.8546,7.114777778,177,10,17,12,12,11,12.225,12.4,99.65,0.081799591,0.04933871,0.047061538
Purdue,Big 10,20.08088346,0.6087,-0.2328,6.845222222,150,9,18,17,15,14,14.525,14.6,99.52,0.068846816,0.041691781,0.033816667
Wisconsin,Big 10,17.63725395,0.5964,-0.60568,6.897666667,181,14,27,19,11,13,15.85,16.8,99.43,0.063091483,0.0355,0.02982
Buffalo,MAC,16.63046254,0.6372,0.38408,5.089444444,91,18,7,14,23,19,17.3,16.2,99.3,0.057803468,0.039333333,0.04248
Kansas State,Big 12,15.27122088,0.608,-0.60332,6.244555556,154,24,19,18,14,16,17.8,18.2,99.25,0.056179775,0.033406593,0.032
Auburn,SEC,17.98186743,0.6009,-1.46376,5.599888889,116,12,24,21,20,17,18.825,18.8,99.13,0.05312085,0.031962766,0.027313636
Virginia Tech,ACC,18.30778531,0.5958,-0.1324,5.584777778,88,11,29,15,24,18,19.6,19.4,99.04,0.051020408,0.03071134,0.0372375
Villanova,Big East,14.94740294,0.6141,-2.32092,4.408444444,139.808,26,15,28,16,22,21,21.4,98.83,0.047619048,0.028696262,0.021175862
