Rd1,Rd2,S16,E8,FF,C,W
Villanova,Villanova,Wisconsin,Florida,South Carolina,Gonzaga,North Carolina
Mount St. Mary's,,,,,,
Wisconsin,Wisconsin,,,,,
Virgina Tech,,,,,,
Virginia,Virginia,Florida,,,,
UNC Wilmington,,,,,,
Florida,Florida,,,,,
East Tennessee State,,,,,,
SMU,USC,Baylor,South Carolina,,,
USC,,,,,,
Baylor,Baylor,,,,,
New Mexico State,,,,,,
South Carolina,South Carolina,South Carolina,,,,
Marquette,,,,,,
Duke,Duke,,,,,
Troy,,,,,,
Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga,,
South Dakota State,,,,,,
Northwestern,Northwestern,,,,,
Vanderbilt,,,,,,
Notre Dame,Notre Dame,West Virginia,,,,
Princeton,,,,,,
West Virginia,West Virginia,,,,,
Bucknell,,,,,,
Maryland,Xavier,Xavier,Xavier,,,
Xavier,,,,,,
Florida State,Florida State,,,,,
Florida Gulf Coast,,,,,,
St. Mary's,St. Mary's,Arizona,,,,
VCU,,,,,,
Arizona,Arizona,,,,,
North Dakota,,,,,,
Kansas,Kansas,Kansas,Kansas,Oregon,North Carolina,
UC Davis,,,,,,
Miami,Michigan State,,,,,
Michigan State,,,,,,
Iowa State,Iowa State,Purdue,,,,
Nevada,,,,,,
Purdue,Purdue,,,,,
Vermont,,,,,,
Creighton,Rhode Island,Oregon,Oregon,,,
Rhode Island,,,,,,
Oregon,Oregon,,,,,
Iona,,,,,,
Michigan,Michigan,Michigan,,,,
Oklahoma State,,,,,,
Louisville,Louisville,,,,,
Jacksonville State,,,,,,
North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,,
Texas Southern,,,,,,
Arkansas,Arkansas,,,,,
Seton Hall,,,,,,
Minnesota,Middle Tennessee,Butler,,,,
Middle Tennessee,,,,,,
Butler,Butler,,,,,
Winthrop,,,,,,
Cincinnati,Cincinnati,UCLA,Kentucky,,,
Kansas State,,,,,,
UCLA,UCLA,,,,,
Kent State,,,,,,
Dayton,Wichita State,Kentucky,,,,
Wichita State,,,,,,
Kentucky,Kentucky,,,,,
Northern Kentucky,,,,,,
