,Total,Rd2,S16,E8,FF,C,W
brackets2018\formula1_2018_1.csv,530,250,200,80,0,0,0
brackets2018\formula1_2018_2.csv,700,260,120,80,80,160,0
brackets2018\formula1_2018_3.csv,640,260,260,120,0,0,0
brackets2018\formula1_2018_4.csv,600,240,200,160,0,0,0
brackets2018\formula1_2018_5.csv,550,230,160,160,0,0,0
brackets2018\formula1_2018_6.csv,1350,250,180,200,240,160,320
brackets2018\formula1_2018_7.csv,1090,270,140,120,80,160,320
brackets2018\formula1_2018_8.csv,560,260,180,40,80,0,0
brackets2018\formula1_2018_9.csv,910,250,180,160,160,160,0
brackets2018\formula1_2018_10.csv,490,250,160,80,0,0,0
brackets2018\formula1_2018_11.csv,1270,250,100,120,160,320,320
brackets2018\formula1_2018_12.csv,1110,250,180,120,80,160,320
brackets2018\formula1_2018_13.csv,1010,250,240,200,160,160,0
brackets2018\formula1_2018_14.csv,610,270,140,120,80,0,0
brackets2018\formula1_2018_15.csv,590,230,160,120,80,0,0
brackets2018\formula1_2018_16.csv,610,290,160,80,80,0,0
brackets2018\formula1_2018_17.csv,1030,270,80,120,80,160,320
brackets2018\formula1_2018_18.csv,520,260,180,80,0,0,0
brackets2018\formula1_2018_19.csv,980,300,240,120,160,160,0
brackets2018\formula1_2018_20.csv,580,280,180,40,80,0,0
brackets2018\formula1_2018_21.csv,830,250,180,80,160,160,0
brackets2018\formula1_2018_22.csv,790,250,180,120,80,160,0
brackets2018\formula1_2018_23.csv,990,210,180,40,80,160,320
brackets2018\formula1_2018_24.csv,1460,280,180,200,160,320,320
brackets2018\formula1_2018_25.csv,1230,270,200,120,160,160,320
brackets2018\formula1_2018_26.csv,550,230,160,160,0,0,0
brackets2018\formula1_2018_27.csv,1360,280,160,120,160,320,320
brackets2018\formula1_2018_28.csv,530,270,140,120,0,0,0
brackets2018\formula1_2018_29.csv,890,270,180,200,80,160,0
brackets2018\formula1_2018_30.csv,710,230,160,160,160,0,0
brackets2018\formula1_2018_31.csv,770,230,140,160,80,160,0
brackets2018\formula1_2018_32.csv,900,220,120,80,160,320,0
brackets2018\formula1_2018_33.csv,720,280,160,40,80,160,0
brackets2018\formula1_2018_34.csv,710,250,100,120,80,160,0
brackets2018\formula1_2018_35.csv,550,250,140,160,0,0,0
brackets2018\formula1_2018_36.csv,510,270,120,40,80,0,0
brackets2018\formula1_2018_37.csv,490,270,140,80,0,0,0
brackets2018\formula1_2018_38.csv,840,280,200,120,80,160,0
brackets2018\formula1_2018_39.csv,800,280,160,200,160,0,0
brackets2018\formula1_2018_40.csv,570,250,200,120,0,0,0
brackets2018\formula1_2018_41.csv,660,260,200,120,80,0,0
brackets2018\formula1_2018_42.csv,600,260,260,80,0,0,0
brackets2018\formula1_2018_43.csv,860,240,180,120,160,160,0
brackets2018\formula1_2018_44.csv,820,220,200,160,80,160,0
brackets2018\formula1_2018_45.csv,540,260,120,80,80,0,0
brackets2018\formula1_2018_46.csv,530,290,160,80,0,0,0
brackets2018\formula1_2018_47.csv,830,230,200,160,80,160,0
brackets2018\formula1_2018_48.csv,560,260,180,120,0,0,0
brackets2018\formula1_2018_49.csv,460,240,140,80,0,0,0
brackets2018\formula1_2018_50.csv,830,270,160,160,80,160,0
brackets2018\formula1_2018_51.csv,710,270,240,120,80,0,0
brackets2018\formula1_2018_52.csv,750,270,200,200,80,0,0
brackets2018\formula1_2018_53.csv,450,270,140,40,0,0,0
brackets2018\formula1_2018_54.csv,540,240,180,120,0,0,0
brackets2018\formula1_2018_55.csv,1060,240,140,120,80,160,320
brackets2018\formula1_2018_56.csv,680,280,240,160,0,0,0
brackets2018\formula1_2018_57.csv,630,270,200,80,80,0,0
brackets2018\formula1_2018_58.csv,820,240,140,120,160,160,0
brackets2018\formula1_2018_59.csv,1250,270,180,160,160,160,320
brackets2018\formula1_2018_60.csv,550,270,160,120,0,0,0
brackets2018\formula1_2018_61.csv,1190,250,140,160,160,160,320
brackets2018\formula1_2018_62.csv,640,280,200,160,0,0,0
brackets2018\formula1_2018_63.csv,360,240,120,0,0,0,0
brackets2018\formula1_2018_64.csv,580,220,160,120,80,0,0
brackets2018\formula1_2018_65.csv,840,280,160,160,80,160,0
brackets2018\formula1_2018_66.csv,700,240,180,40,80,160,0
brackets2018\formula1_2018_67.csv,610,250,120,160,80,0,0
brackets2018\formula1_2018_68.csv,1060,260,160,80,80,160,320
brackets2018\formula1_2018_69.csv,970,270,180,200,160,160,0
brackets2018\formula1_2018_70.csv,1330,270,220,120,240,160,320
brackets2018\formula1_2018_71.csv,740,240,140,120,80,160,0
brackets2018\formula1_2018_72.csv,440,240,160,40,0,0,0
brackets2018\formula1_2018_73.csv,600,260,220,120,0,0,0
brackets2018\formula1_2018_74.csv,400,240,160,0,0,0,0
brackets2018\formula1_2018_75.csv,570,230,180,80,80,0,0
brackets2018\formula1_2018_76.csv,830,270,120,120,160,160,0
brackets2018\formula1_2018_77.csv,540,260,160,120,0,0,0
brackets2018\formula1_2018_78.csv,1040,240,80,160,240,320,0
brackets2018\formula1_2018_79.csv,590,230,160,120,80,0,0
brackets2018\formula1_2018_80.csv,510,250,100,160,0,0,0
brackets2018\formula1_2018_81.csv,1020,260,120,80,80,160,320
brackets2018\formula1_2018_82.csv,430,250,180,0,0,0,0
brackets2018\formula1_2018_83.csv,760,240,200,80,80,160,0
brackets2018\formula1_2018_84.csv,650,250,200,200,0,0,0
brackets2018\formula1_2018_85.csv,860,260,200,160,80,160,0
brackets2018\formula1_2018_86.csv,470,270,120,80,0,0,0
brackets2018\formula1_2018_87.csv,1130,250,200,120,80,160,320
brackets2018\formula1_2018_88.csv,450,210,160,80,0,0,0
brackets2018\formula1_2018_89.csv,490,270,180,40,0,0,0
brackets2018\formula1_2018_90.csv,860,280,180,160,80,160,0
brackets2018\formula1_2018_91.csv,560,240,160,80,80,0,0
brackets2018\formula1_2018_92.csv,820,260,160,80,160,160,0
brackets2018\formula1_2018_93.csv,530,250,160,120,0,0,0
brackets2018\formula1_2018_94.csv,650,270,140,160,80,0,0
brackets2018\formula1_2018_95.csv,810,270,180,120,80,160,0
brackets2018\formula1_2018_96.csv,660,280,180,120,80,0,0
brackets2018\formula1_2018_97.csv,930,210,120,120,160,320,0
brackets2018\formula1_2018_98.csv,720,260,180,120,160,0,0
brackets2018\formula1_2018_99.csv,1000,220,140,80,80,160,320
brackets2018\formula1_2018_100.csv,600,240,200,80,80,0,0
brackets2018\formula2_2018_1.csv,670,270,200,120,80,0,0
brackets2018\formula2_2018_2.csv,820,260,160,80,160,160,0
brackets2018\formula2_2018_3.csv,1140,220,160,120,160,160,320
brackets2018\formula2_2018_4.csv,570,250,160,80,80,0,0
brackets2018\formula2_2018_5.csv,1130,250,160,160,80,160,320
brackets2018\formula2_2018_6.csv,560,260,180,120,0,0,0
brackets2018\formula2_2018_7.csv,410,250,120,40,0,0,0
brackets2018\formula2_2018_8.csv,540,200,100,160,80,0,0
brackets2018\formula2_2018_9.csv,820,220,240,120,80,160,0
brackets2018\formula2_2018_10.csv,1490,230,180,200,240,320,320
brackets2018\formula2_2018_11.csv,850,230,180,120,160,160,0
brackets2018\formula2_2018_12.csv,560,240,160,80,80,0,0
brackets2018\formula2_2018_13.csv,550,270,160,40,80,0,0
brackets2018\formula2_2018_14.csv,1040,220,180,80,80,160,320
brackets2018\formula2_2018_15.csv,460,240,140,80,0,0,0
brackets2018\formula2_2018_16.csv,570,250,200,120,0,0,0
brackets2018\formula2_2018_17.csv,560,260,180,120,0,0,0
brackets2018\formula2_2018_18.csv,510,270,200,40,0,0,0
brackets2018\formula2_2018_19.csv,840,260,140,120,160,160,0
brackets2018\formula2_2018_20.csv,690,270,140,40,80,160,0
brackets2018\formula2_2018_21.csv,460,240,140,80,0,0,0
brackets2018\formula2_2018_22.csv,790,250,220,160,160,0,0
brackets2018\formula2_2018_23.csv,640,280,160,120,80,0,0
brackets2018\formula2_2018_24.csv,470,270,160,40,0,0,0
brackets2018\formula2_2018_25.csv,630,250,140,80,160,0,0
brackets2018\formula2_2018_26.csv,390,250,100,40,0,0,0
brackets2018\formula2_2018_27.csv,550,250,220,80,0,0,0
brackets2018\formula2_2018_28.csv,480,280,160,40,0,0,0
brackets2018\formula2_2018_29.csv,560,280,200,80,0,0,0
